Country, ,County,YEAR,Month,Date-1,Season,SeasonNum,Duration_H,Inj,Death,Damage,Category1_wzero,Class,PRCP,TMAX,TMIN,TAVG,Category,County-1,Year,Month-1,PR1,PR2,PR3,PR4,PR5,PR6,PR7,PR8,PR9,PR10,PR11,PR12,PR13,PR14,PR15,PR16,TMAX1,TMAX2,TMAX3,TMAX4,TMAX5,TMAX6,TMAX7,TMAX8,TMAX9,TMAX10,TMAX11,TMAX12,TMAX13,TMAX14,TMAX15,TMAX16,TMIN1,TMIN2,TMIN3,TMIN4,TMIN5,TMIN6,TMIN7,TMIN8,TMIN9,TMIN10,TMIN11,TMIN12,TMIN13,TMIN14,TMIN15,TMIN16,RunOff1,RunOff2,RunOff3,RunOff4,RunOff5,RunOff6,RunOff7,RunOff8,RunOff9,RunOff10,RunOff11,RunOff12,RunOff13,RunOff14,RunOff15,RunOff16,Wind1,Wind2,Wind3,Wind4,Wind5,Wind6,Wind7,Wind8,Wind9,Wind10,Wind11,Wind12,Wind13,Wind14,Wind15,Wind16
United States of America,TEXAS,Bexar,1998,8,8/14/1998,Summer,2,0,3,0,78416.46644,1,DS1,29.25,33.6,21.95,27.775,1,Bexar,1998,8,46.436,44.902,7.541,128.344,38.203,94.385,111.146,96.289,23.749,32.629,198.577,43.733,67.376,25.281,130.282,30.562,36.193,36.604,37.779,33.97,33.984,34.863,35.243,36.69,36.329,36.269,36.239,35.578,35.567,34.328,32.699,35.629,23.178,23.923,23.267,22.484,22.901,23.199,23.161,23.803,23.303,23.883,23.876,23.647,23.506,23.182,23.063,23.588,9.862,7.443,5.925,24.078,10.905,11.66,16.843,12.541,7.287,4.628,28.209,7.912,9.587,7.311,24.778,4.966,2.695,3.671,3.82,3.6,3.707,3.682,3.707,3.87,3.15,3.15,3.335,3.183,2.961,3.389,3.15,2.511
United States of America,TEXAS,Bexar,1998,8,8/23/1998,Summer,2,2,10,0,15683.29329,1,DS1,15.7,31.7,24.4,28.05,1,Bexar,1998,8,46.436,44.902,7.541,128.344,38.203,94.385,111.146,96.289,23.749,32.629,198.577,43.733,67.376,25.281,130.282,30.562,36.193,36.604,37.779,33.97,33.984,34.863,35.243,36.69,36.329,36.269,36.239,35.578,35.567,34.328,32.699,35.629,23.178,23.923,23.267,22.484,22.901,23.199,23.161,23.803,23.303,23.883,23.876,23.647,23.506,23.182,23.063,23.588,9.862,7.443,5.925,24.078,10.905,11.66,16.843,12.541,7.287,4.628,28.209,7.912,9.587,7.311,24.778,4.966,2.695,3.671,3.82,3.6,3.707,3.682,3.707,3.87,3.15,3.15,3.335,3.183,2.961,3.389,3.15,2.511
United States of America,TEXAS,Bexar,1998,8,8/6/1998,Summer,2,1.25,0,0,31366.58658,1,DS1,21.2,29.7,22.2,25.95,1,Bexar,1998,8,46.436,44.902,7.541,128.344,38.203,94.385,111.146,96.289,23.749,32.629,198.577,43.733,67.376,25.281,130.282,30.562,36.193,36.604,37.779,33.97,33.984,34.863,35.243,36.69,36.329,36.269,36.239,35.578,35.567,34.328,32.699,35.629,23.178,23.923,23.267,22.484,22.901,23.199,23.161,23.803,23.303,23.883,23.876,23.647,23.506,23.182,23.063,23.588,9.862,7.443,5.925,24.078,10.905,11.66,16.843,12.541,7.287,4.628,28.209,7.912,9.587,7.311,24.778,4.966,2.695,3.671,3.82,3.6,3.707,3.682,3.707,3.87,3.15,3.15,3.335,3.183,2.961,3.389,3.15,2.511
United States of America,TEXAS,Bexar,1998,10,10/17/1998,Fall,3,52,100,0,12625051.1,4,DS4,167.9,27.6,17.43333333,22.51666667,3,Bexar,1998,10,69.085,77.935,203.682,81.93,199.283,97.888,6.047,35.037,162.114,76.513,17.897,34.656,24.172,18.898,103.786,102.986,27.173,26.919,27.441,27.703,28.746,27.153,31.339,28.598,27.24,28.086,29.517,28.337,29.136,27.806,28.981,27.339,14.035,14.495,16.257,15.558,17.29,14.483,16.132,16.183,13.721,15.448,14.588,14.959,15.69,13.489,16.157,14.165,8.45,42.444,85.195,33.566,43.701,19.839,8.739,14.492,22.977,8.496,7.48,6.393,13.799,4.561,24.678,37.958,4.461,4.944,4.124,3.936,4.394,5.216,4.335,4.141,4.029,4.449,3.964,4.377,4.394,4.617,4.124,4.944
United States of America,TEXAS,Bexar,1998,10,10/17/1998,Fall,3,28.5,600,11,12703467.56,5,DS5,167.9,27.6,17.43333333,22.51666667,3,Bexar,1998,10,69.085,77.935,203.682,81.93,199.283,97.888,6.047,35.037,162.114,76.513,17.897,34.656,24.172,18.898,103.786,102.986,27.173,26.919,27.441,27.703,28.746,27.153,31.339,28.598,27.24,28.086,29.517,28.337,29.136,27.806,28.981,27.339,14.035,14.495,16.257,15.558,17.29,14.483,16.132,16.183,13.721,15.448,14.588,14.959,15.69,13.489,16.157,14.165,8.45,42.444,85.195,33.566,43.701,19.839,8.739,14.492,22.977,8.496,7.48,6.393,13.799,4.561,24.678,37.958,4.461,4.944,4.124,3.936,4.394,5.216,4.335,4.141,4.029,4.449,3.964,4.377,4.394,4.617,4.124,4.944
United States of America,TEXAS,Bexar,1998,10,10/17/1998,Fall,3,76,100,0,12672100.98,4,DS4,167.9,27.6,17.43333333,22.51666667,3,Bexar,1998,10,69.085,77.935,203.682,81.93,199.283,97.888,6.047,35.037,162.114,76.513,17.897,34.656,24.172,18.898,103.786,102.986,27.173,26.919,27.441,27.703,28.746,27.153,31.339,28.598,27.24,28.086,29.517,28.337,29.136,27.806,28.981,27.339,14.035,14.495,16.257,15.558,17.29,14.483,16.132,16.183,13.721,15.448,14.588,14.959,15.69,13.489,16.157,14.165,8.45,42.444,85.195,33.566,43.701,19.839,8.739,14.492,22.977,8.496,7.48,6.393,13.799,4.561,24.678,37.958,4.461,4.944,4.124,3.936,4.394,5.216,4.335,4.141,4.029,4.449,3.964,4.377,4.394,4.617,4.124,4.944
United States of America,TEXAS,Bexar,1999,6,6/15/1999,Summer,2,1.5,0,0,15346.71836,1,DS1,26.05,30.55,20,25.275,1,Bexar,1999,6,107.37,18.369,168.941,38.107,19.16,94.093,64.986,267.451,229.08,67.317,81.118,110.764,66.109,49.363,24.012,64.545,33.998,35.896,32.13,34.242,33.625,32.189,34.292,31.067,31.618,33.946,33.608,32.232,36.551,32.388,33.221,33.66,22.959,23.009,22.293,22.741,22.064,22.154,22.333,20.474,21.16,22.863,22.86,22.104,23.449,21.77,21.929,22.801,21.725,7.459,146.576,7.486,4.007,28.674,8.579,63.261,98.466,8.014,18.578,15.488,7.468,7.505,7.75,9.529,3.711,4.566,5.057,4.162,4.206,3.487,4.425,3.539,3.814,4.283,3.814,4.221,3.365,3.814,3.365,3.421
United States of America,TEXAS,Bexar,1999,6,6/15/1999,Summer,2,1.5,0,0,46040.15508,1,DS1,26.05,30.55,20,25.275,1,Bexar,1999,6,107.37,18.369,168.941,38.107,19.16,94.093,64.986,267.451,229.08,67.317,81.118,110.764,66.109,49.363,24.012,64.545,33.998,35.896,32.13,34.242,33.625,32.189,34.292,31.067,31.618,33.946,33.608,32.232,36.551,32.388,33.221,33.66,22.959,23.009,22.293,22.741,22.064,22.154,22.333,20.474,21.16,22.863,22.86,22.104,23.449,21.77,21.929,22.801,21.725,7.459,146.576,7.486,4.007,28.674,8.579,63.261,98.466,8.014,18.578,15.488,7.468,7.505,7.75,9.529,3.711,4.566,5.057,4.162,4.206,3.487,4.425,3.539,3.814,4.283,3.814,4.221,3.365,3.814,3.365,3.421
United States of America,TEXAS,Bexar,1999,6,6/21/1999,Summer,2,2,0,0,15346.71836,1,DS1,29.06666667,25.76666667,21.46666667,23.61666667,1,Bexar,1999,6,107.37,18.369,168.941,38.107,19.16,94.093,64.986,267.451,229.08,67.317,81.118,110.764,66.109,49.363,24.012,64.545,33.998,35.896,32.13,34.242,33.625,32.189,34.292,31.067,31.618,33.946,33.608,32.232,36.551,32.388,33.221,33.66,22.959,23.009,22.293,22.741,22.064,22.154,22.333,20.474,21.16,22.863,22.86,22.104,23.449,21.77,21.929,22.801,21.725,7.459,146.576,7.486,4.007,28.674,8.579,63.261,98.466,8.014,18.578,15.488,7.468,7.505,7.75,9.529,3.711,4.566,5.057,4.162,4.206,3.487,4.425,3.539,3.814,4.283,3.814,4.221,3.365,3.814,3.365,3.421
United States of America,TEXAS,Bexar,1999,6,6/14/1999,Summer,2,1,0,0,15346.71836,1,DS1,18.26666667,32.03333333,20.03333333,26.03333333,1,Bexar,1999,6,107.37,18.369,168.941,38.107,19.16,94.093,64.986,267.451,229.08,67.317,81.118,110.764,66.109,49.363,24.012,64.545,33.998,35.896,32.13,34.242,33.625,32.189,34.292,31.067,31.618,33.946,33.608,32.232,36.551,32.388,33.221,33.66,22.959,23.009,22.293,22.741,22.064,22.154,22.333,20.474,21.16,22.863,22.86,22.104,23.449,21.77,21.929,22.801,21.725,7.459,146.576,7.486,4.007,28.674,8.579,63.261,98.466,8.014,18.578,15.488,7.468,7.505,7.75,9.529,3.711,4.566,5.057,4.162,4.206,3.487,4.425,3.539,3.814,4.283,3.814,4.221,3.365,3.814,3.365,3.421
